id,severidad,modulo,titulo,precondiciones,pasos,resultado_esperado,resultado_obtenido,evidencia,norma_o_requisito,riesgo,correccion_recomendada,esfuerzo,dependencias
D-12,P2,"Costeo","Constantes de costeo sin calibrar y marcadas como tales en el propio código","-","Leer los comentarios CALIBRAR de lib/calc.ts","Tarifas derivadas de consumo y compras reales","Merma 12%, refuerzo de respaldo 78 $/m, sellos 24 $/m, herraje 110 $/hoja y 165 $/riel, todas planas y sin fuente","lib/calc.ts:40,52,57,239,240,257","Exactitud del cálculo comercial","El costo directo puede desviarse en cualquier dirección sin que nadie lo note","Calibrar contra consumo real y registrar la fecha de calibración","Medio","Datos de consumo del taller"
D-13,P2,"Costeo","La mallorquina no incluye herrajes","Componente con mallorquina","Cotizar una hoja con mallorquina","El costo incluye bisagras, retenes y fijaciones","MALLORQUINA_HARDWARE_MXN = 0, declarado CALIBRAR en el código","lib/calc.ts:22","Exactitud del cálculo comercial","Toda mallorquina se vende por debajo de su costo","Cargar el precio real por persiana","Bajo","Precios de herrajes de mallorquina"
D-14,P2,"Costeo","El precio EXWORK se carga como costo puesto en planta","Cualquier cotización con perfil sourced","Revisar IMPORT_FACTOR","El costo incluye flete, aduana y maniobras hasta la planta","IMPORT_FACTOR = 1.0, con el propio código advirtiendo que es una fuga directa de margen","data/catalog.ts:17","Exactitud del cálculo comercial","Subcosteo del perfil importado en cada ventana","Calcular el factor con un pedimento real reciente","Bajo","Pedimento de importación"
D-15,P2,"Integraciones","No hay exportación a DXF, CNC, PDF ni BIM","-","Revisar las opciones de exportación del Workspace","Formatos que consuman las máquinas y el resto de la cadena","Solo CSV (pedido de vidrio y optimización de corte), HTML y JSON de respaldo","app/Workspace.tsx:1761-1793; lib/exportDoc.ts","Paridad competitiva","La producción sigue siendo manual: ningún dato llega a una máquina","Priorizar según el equipo real del taller; el CSV de corte ya es la base","Alto","Inventario de maquinaria del taller"
D-16,P3,"Optimización de corte","La colocación en barra descuenta un corte de sierra de más","-","Comparar el cálculo de used en la colocación y en el resultado","El mismo criterio de kerf en ambos","La colocación usa pieces.length * kerf y el resultado (pieces.length - 1) * kerf","lib/calc.ts:309 vs 319","Eficiencia","Empaquetado ligeramente peor que el óptimo; es conservador, no produce sobrellenado","Unificar en (n-1)","Bajo","Ninguna"
D-17,P3,"Acceso","Los permisos por rol existen pero no hay gestión de usuarios","-","Revisar lib/luft-ai/permissions.ts y buscar administración de usuarios","Alta de usuarios, asignación de roles y auditoría de cambios","Hay cinco roles definidos y aplicados solo dentro del módulo luft-ai. El acceso interno es una sola contraseña compartida; no hay usuarios, ni roles asignables, ni bitácora por usuario","lib/luft-ai/permissions.ts; lib/internalGate.ts","ISO/IEC 27001 control de acceso","Sin trazabilidad de quién cambió qué; imposible separar ventas de producción","Introducir usuarios con rol y bitácora antes de abrir la app a más de una persona","Alto","Ninguna"
D-18,P3,"Operación","Sin monitoreo, alertas ni objetivos de rendimiento declarados","-","Buscar instrumentación y umbrales","Métricas, alertas y objetivos acordados","No se localizó instrumentación ni umbrales; no se ejecutaron pruebas de carga en esta auditoría","Inventario del repositorio","ISO/IEC 25010 (fiabilidad)","Las caídas se detectan por reporte del cliente","Definir umbrales y activar alertas del Worker","Medio","Ninguna"
D-19,P4,"Accesibilidad","Sin evaluación de accesibilidad","-","-","Conformidad WCAG 2.2 AA verificada","No se ha ejecutado ninguna evaluación WCAG; no se evaluó en esta auditoría","-","WCAG 2.2 AA","Exclusión de usuarios y riesgo en licitaciones públicas","Auditoría WCAG del cotizador público","Medio","Ninguna"
D-20,P0,"Cotizador público / Cotizaciones","El envío final falla y deja una cotización huérfana con folio quemado","Existir un proyecto cuyo campo folio ya contenga el folio que le toca a la siguiente cotización","Recorrer las 10 etapas del cotizador público y pulsar ""Generar mi cotización""","La cotización se guarda o no se guarda nada; el folio no se consume si falla","POST /api/public-quote/submit devuelve 500 y la interfaz dice ""No pudimos guardar tu cotización en este momento"". Pero la fila de quotes YA se creó con status generada y su folio; solo falla el UPDATE de projects, que queda con folio vacío. El reintento funciona con el folio siguiente y deja el anterior huérfano. En el panel interno de Clientes aparecen las dos cotizaciones para el mismo cliente, mismo proyecto y el mismo importe","auditoria-comercial/evidencias/funcional-hallazgos.txt (F-01); log del servidor en auditoria-comercial/logs/dev-funcional.log; cruce quotes x projects: 2 de 5 inconsistentes","Regla del proyecto: expediente con folio único, sin duplicados; ISO/IEC 25010 exactitud funcional","El cliente que termina el embudo ve un error en el último paso, justo donde más cuesta perderlo. Y el pipeline interno se infla: de los 155,269 mostrados en oportunidades, 45,728 están contados dos veces (+41.9%)","Envolver la creación de cotización y la actualización del proyecto en una sola transacción, y asignar el folio del proyecto desde la misma fuente que el de la cotización en lugar de dos caminos independientes","Medio","D-21"
D-21,P1,"Cotizaciones","projects.folio no corresponde al folio de la cotización de ese proyecto","-","Cruzar quotes.folio con projects.folio por project_id","Cada proyecto lleva el folio de su cotización","El proyecto 5d07f8f0 tiene folio LUFT-2026-000004 mientras su cotización es la LUFT-2026-000001, y su propio nombre dice 000001. La inconsistencia proviene de una sesión anterior a esta auditoría","auditoria-comercial/evidencias/funcional-hallazgos.txt (F-01, cruce de 5 cotizaciones)","Regla del proyecto: folio único y trazable","Es la causa raíz de D-20: cualquier folio ya ocupado por un proyecto ajeno bloquea la siguiente cotización que lo necesite. Además rompe la trazabilidad folio-proyecto","Derivar projects.folio de la cotización en la misma transacción y añadir una verificación de consistencia; corregir los registros ya desalineados","Medio","Ninguna"
D-22,P1,"Interfaz interna / Costeo","La interfaz etiqueta datos de 2022 como ""Datos reales""","-","Abrir Workspace > pestaña Diseño y leer la nota bajo el selector de sistema","La procedencia y la antigüedad del dato se muestran con honestidad","Imprime: ""✓ Datos reales — precio de marco/hoja tomado de la lista EXWORK Veracruz (rev. ABR_22), convertido a MXN @ 21.8"". Es una lista del 2022-05-01 y un tipo de cambio de 2022, presentados al operador como datos reales en agosto de 2026","auditoria-comercial/evidencias/funcional-hallazgos.txt (F-05)","Veracidad de la información mostrada al operador","Quien cotiza confía en un precio obsoleto porque la propia herramienta lo certifica como real","Mostrar la fecha de la lista y del tipo de cambio junto a la etiqueta, y avisar cuando superen una antigüedad definida","Bajo","D-04; D-05"
